observation_date,NJUCSFRCONDOSMSAMID_20220120,NJUCSFRCONDOSMSAMID_20220217,NJUCSFRCONDOSMSAMID_20220317,NJUCSFRCONDOSMSAMID_20220421,NJUCSFRCONDOSMSAMID_20220519,NJUCSFRCONDOSMSAMID_20220616,NJUCSFRCONDOSMSAMID_20220721,NJUCSFRCONDOSMSAMID_20220818,NJUCSFRCONDOSMSAMID_20220915,NJUCSFRCONDOSMSAMID_20221020,NJUCSFRCONDOSMSAMID_20221117,NJUCSFRCONDOSMSAMID_20221215,NJUCSFRCONDOSMSAMID_20230119,NJUCSFRCONDOSMSAMID_20230216,NJUCSFRCONDOSMSAMID_20230316,NJUCSFRCONDOSMSAMID_20230420,NJUCSFRCONDOSMSAMID_20230518,NJUCSFRCONDOSMSAMID_20230615,NJUCSFRCONDOSMSAMID_20230720,NJUCSFRCONDOSMSAMID_20230817,NJUCSFRCONDOSMSAMID_20230921,NJUCSFRCONDOSMSAMID_20231019,NJUCSFRCONDOSMSAMID_20231116,NJUCSFRCONDOSMSAMID_20231221,NJUCSFRCONDOSMSAMID_20240118,NJUCSFRCONDOSMSAMID_20240215,NJUCSFRCONDOSMSAMID_20240321,NJUCSFRCONDOSMSAMID_20240418,NJUCSFRCONDOSMSAMID_20240516,NJUCSFRCONDOSMSAMID_20240620,NJUCSFRCONDOSMSAMID_20240718,NJUCSFRCONDOSMSAMID_20240815,NJUCSFRCONDOSMSAMID_20240919,NJUCSFRCONDOSMSAMID_20241017
2017-07-01,316407,316525,316832,317754,319368,319720,319556,318917,317771,316916,316191,315450,314979,304060.45700513000,294728.01435877000,299484.20391360600,301323.96428585300,306306.72544942300,314412.36168144800,313842.90877107100,320648.47526610200,320244.74756610100,319048.93817246400,316984.51978341500,315160.34544501800,314850.24326695400,316502.55904509100,319356.26923713700,321893.32811906000,322254.91309909100,324889.96785783800,325094.64531550600,321721.68559822600,319987.95427840500
2017-08-01,317171,317290,317597,318521,320140,320493,320328,319688,318539,317682,316955,316212,315740,304991.93907924700,295630.90671386100,300401.66674377600,302247.06317874700,307245.08891420200,315375.55657259500,314804.35915659100,321490.69744724100,321085.90930738000,319886.95897507300,317817.11814028500,315988.15238633900,315677.23568722500,317333.89147352000,320195.09728213000,322738.82005747500,323101.35478439100,325743.33083463800,325948.54590251800,322566.72669670400,320828.44152091200
2017-09-01,318258,318377,318685,319613,321236,321591,321426,320783,319630,318770,318041,317296,316821,305879.76875093800,296491.48647751600,301276.13416073700,303126.90253345800,308139.47749130000,316293.61289138400,315720.75272319100,322289.72294624300,321883.92875535800,320681.99857979200,318607.01341075400,316773.50198787900,316461.81254363600,318122.58574367500,320990.90272662700,323540.94761137100,323904.38337366200,326552.92572971100,326758.65083434600,323368.42653376600,321625.82106444400
2017-10-01,319203,319322,319632,320562,322191,322546,322380,321736,320580,319717,318986,318238,317762,306975.14516444900,297553.24280883700,302355.02464329900,304212.42074439300,309242.94607666600,317426.28199441100,316851.37037469900,323301.41735222700,322894.34933942400,321688.64620447200,319607.14748337700,317767.88051473800,317455.21265125000,319121.19915731900,321998.52002727000,324556.56971626700,324921.14633382400,327578.00268593000,327784.37357888100,324383.50708056400,322635.43142687200
2017-11-01,320263,320382,320693,321626,323260,323616,323450,322804,321644,320778,320045,319295,318817,308283.30906877500,298821.25560397400,303643.50006471400,305508.81139469200,310560.77413570300,318778.98305484000,318201.62146925600,324551.31070929000,324142.66895886100,322932.30453800700,320842.75867797400,318996.38104590300,318682.50439870900,320354.93166054100,323243.37634266300,325811.31553149400,326177.30161361900,328844.42945519800,329051.59818445400,325637.58383024700,323882.75006158900
2017-12-01,321441,321561,321872,322809,324449,324807,324640,323991,322827,321958,321222,320469,319990,309500.83352632100,300001.41092354500,304842.70020571600,306715.37833791200,311787.29314254500,320037.95879891600,319458.31699954600,325703.49887337800,325293.40640568900,324078.74507549100,321981.78112799700,320128.84867890900,319813.85773962600,321492.22227803900,324390.92121477600,326967.97683309500,327335.26220078200,330011.85860104500,330219.76279908500,326793.62836770900,325032.56477149700
2018-01-01,322752,322872,323185,324126,325772,326131,325964,325312,324144,323271,322532,321776,321295,310637.64394491600,301103.32953760900,305962.40109207000,307841.95765488900,312932.50182968000,321213.47255040900,320631.70170075800,326776.27025521400,326364.82706373800,325146.16499692400,323042.29426789600,321183.25880514500,320867.23037849600,322551.12295529800,325459.36935245400,328044.91303284900,328413.40813034400,331098.82045069600,331307.40942392200,327869.99031497600,326103.12629403900
2018-02-01,324311,324432,324746,325691,327346,327707,327539,326884,325709,324833,324090,323330,322847,311686.49501648800,302119.98851631100,306995.46646100100,308881.36924409900,313989.10136380400,322298.03233076600,321714.29716355500,327727.22419731100,327314.58366208500,326092.37515814500,323982.38193998500,322117.93648494600,321800.98838173200,323489.78126626500,326406.49097189200,328999.55886129200,329369.12631898400,332062.35347678000,332271.54946625600,328824.12709957700,327052.12131512000
2018-03-01,325840,325961,326277,327227,328889,329252,329083,328425,327245,326364,325618,324855,324369,313134.93126622600,303523.96831695800,308422.10306296200,310316.76981241100,315448.23804027100,323795.78138538100,323209.33354633400,329084.05231171600,328669.70339757700,327442.43481093000,325323.70598001500,323451.54150798800,323133.28120345000,324829.06588328200,327757.85109999800,330361.65458642900,330732.75209557800,333437.12952120700,333647.19160595600,330185.49651719700,328406.15442653800
2018-04-01,327815,327938,328255,329211,330883,331248,331078,330416,329229,328343,327592,326824,326335,314540.81520617200,304886.70185396700,309806.82778743600,311710.00103452700,316864.50804870500,325249.52941352800,324660.44859579900,330373.95785111100,329957.98482010600,328725.90572824900,326598.87214954600,324719.36938413800,324399.86159973300,326102.29321987300,329042.55834954200,331656.56792319200,332029.12001736100,334744.09774828400,334954.98321005500,331479.71936997100,329693.40282034700
