DATE,MEDDAYONMARNJ,MEDLISPRIMM34017,MEDLISPRIPERSQUFEENJ,MEDLISPRIPERSQUFEEMM34025,MEDLISPRIMM34009,MEDLISPRI34023,MEDLISPRI34003,NJSTHPI,CORESTICKM159SFRBATL,UNRATE,CORESTICKM159SFRBATL_normalized,UNRATE_normalized
1958-05-01,,,,,,,,,,7.4,,1.0023538201320288
1958-06-01,,,,,,,,,,7.3,,0.9438620339192607
1958-07-01,,,,,,,,,,7.5,,1.0608456063447962
1958-08-01,,,,,,,,,,7.4,,1.0023538201320288
1958-09-01,,,,,,,,,,7.1,,0.826878461493725
1958-10-01,,,,,,,,,,6.7,,0.5929113166426543
1958-11-01,,,,,,,,,,6.2,,0.3004523855788155
1958-12-01,,,,,,,,,,6.2,,0.3004523855788155
1959-01-01,,,,,,,,,,6.0,,0.18346881315327987
1959-02-01,,,,,,,,,,5.9,,0.12497702694051231
1959-03-01,,,,,,,,,,5.6,,-0.05049833169779138
1959-04-01,,,,,,,,,,5.2,,-0.2844654765488621
1959-05-01,,,,,,,,,,5.1,,-0.3429572627616302
1959-06-01,,,,,,,,,,5.0,,-0.40144904897439776
1959-07-01,,,,,,,,,,5.1,,-0.3429572627616302
1959-08-01,,,,,,,,,,5.2,,-0.2844654765488621
1959-09-01,,,,,,,,,,5.5,,-0.10899011791055893
1959-10-01,,,,,,,,,,5.7,,0.007993454514976694
1959-11-01,,,,,,,,,,5.8,,0.06648524072774424
1959-12-01,,,,,,,,,,5.3,,-0.22597369033609455
1960-01-01,,,,,,,,,,5.2,,-0.2844654765488621
1960-02-01,,,,,,,,,,4.8,,-0.5184326213999334
1960-03-01,,,,,,,,,,5.4,,-0.16748190412332647
1960-04-01,,,,,,,,,,5.2,,-0.2844654765488621
1960-05-01,,,,,,,,,,5.1,,-0.3429572627616302
1960-06-01,,,,,,,,,,5.4,,-0.16748190412332647
1960-07-01,,,,,,,,,,5.5,,-0.10899011791055893
1960-08-01,,,,,,,,,,5.6,,-0.05049833169779138
1960-09-01,,,,,,,,,,5.5,,-0.10899011791055893
1960-10-01,,,,,,,,,,6.1,,0.2419605993660474
1960-11-01,,,,,,,,,,6.1,,0.2419605993660474
1960-12-01,,,,,,,,,,6.6,,0.5344195304298862
1961-01-01,,,,,,,,,,6.6,,0.5344195304298862
1961-02-01,,,,,,,,,,6.9,,0.7098948890681899
1961-03-01,,,,,,,,,,6.9,,0.7098948890681899
1961-04-01,,,,,,,,,,7.0,,0.7683866752809575
1961-05-01,,,,,,,,,,7.1,,0.826878461493725
1961-06-01,,,,,,,,,,6.9,,0.7098948890681899
1961-07-01,,,,,,,,,,7.0,,0.7683866752809575
1961-08-01,,,,,,,,,,6.6,,0.5344195304298862
1961-09-01,,,,,,,,,,6.7,,0.5929113166426543
1961-10-01,,,,,,,,,,6.5,,0.4759277442171187
1961-11-01,,,,,,,,,,6.1,,0.2419605993660474
1961-12-01,,,,,,,,,,6.0,,0.18346881315327987
1962-01-01,,,,,,,,,,5.8,,0.06648524072774424
1962-02-01,,,,,,,,,,5.5,,-0.10899011791055893
1962-03-01,,,,,,,,,,5.6,,-0.05049833169779138
1962-04-01,,,,,,,,,,5.6,,-0.05049833169779138
1962-05-01,,,,,,,,,,5.5,,-0.10899011791055893
1962-06-01,,,,,,,,,,5.5,,-0.10899011791055893
1962-07-01,,,,,,,,,,5.4,,-0.16748190412332647
1962-08-01,,,,,,,,,,5.7,,0.007993454514976694
1962-09-01,,,,,,,,,,5.6,,-0.05049833169779138
1962-10-01,,,,,,,,,,5.4,,-0.16748190412332647
1962-11-01,,,,,,,,,,5.7,,0.007993454514976694
1962-12-01,,,,,,,,,,5.5,,-0.10899011791055893
1963-01-01,,,,,,,,,,5.7,,0.007993454514976694
1963-02-01,,,,,,,,,,5.9,,0.12497702694051231
1963-03-01,,,,,,,,,,5.7,,0.007993454514976694
1963-04-01,,,,,,,,,,5.7,,0.007993454514976694
1963-05-01,,,,,,,,,,5.9,,0.12497702694051231
1963-06-01,,,,,,,,,,5.6,,-0.05049833169779138
1963-07-01,,,,,,,,,,5.6,,-0.05049833169779138
1963-08-01,,,,,,,,,,5.4,,-0.16748190412332647
1963-09-01,,,,,,,,,,5.5,,-0.10899011791055893
1963-10-01,,,,,,,,,,5.5,,-0.10899011791055893
1963-11-01,,,,,,,,,,5.7,,0.007993454514976694
1963-12-01,,,,,,,,,,5.5,,-0.10899011791055893
1964-01-01,,,,,,,,,,5.6,,-0.05049833169779138
1964-02-01,,,,,,,,,,5.4,,-0.16748190412332647
1964-03-01,,,,,,,,,,5.4,,-0.16748190412332647
1964-04-01,,,,,,,,,,5.3,,-0.22597369033609455
1964-05-01,,,,,,,,,,5.1,,-0.3429572627616302
1964-06-01,,,,,,,,,,5.2,,-0.2844654765488621
1964-07-01,,,,,,,,,,4.9,,-0.4599408351871653
1964-08-01,,,,,,,,,,5.0,,-0.40144904897439776
1964-09-01,,,,,,,,,,5.1,,-0.3429572627616302
1964-10-01,,,,,,,,,,5.1,,-0.3429572627616302
1964-11-01,,,,,,,,,,4.8,,-0.5184326213999334
1964-12-01,,,,,,,,,,5.0,,-0.40144904897439776
1965-01-01,,,,,,,,,,4.9,,-0.4599408351871653
1965-02-01,,,,,,,,,,5.1,,-0.3429572627616302
1965-03-01,,,,,,,,,,4.7,,-0.5769244076127009
1965-04-01,,,,,,,,,,4.8,,-0.5184326213999334
1965-05-01,,,,,,,,,,4.6,,-0.635416193825469
1965-06-01,,,,,,,,,,4.6,,-0.635416193825469
1965-07-01,,,,,,,,,,4.4,,-0.7523997662510041
1965-08-01,,,,,,,,,,4.4,,-0.7523997662510041
1965-09-01,,,,,,,,,,4.3,,-0.8108915524637722
1965-10-01,,,,,,,,,,4.2,,-0.8693833386765397
1965-11-01,,,,,,,,,,4.1,,-0.9278751248893078
1965-12-01,,,,,,,,,,4.0,,-0.9863669111020753
1966-01-01,,,,,,,,,,4.0,,-0.9863669111020753
1966-02-01,,,,,,,,,,3.8,,-1.103350483527611
1966-03-01,,,,,,,,,,3.8,,-1.103350483527611
1966-04-01,,,,,,,,,,3.8,,-1.103350483527611
1966-05-01,,,,,,,,,,3.9,,-1.0448586973148433
1966-06-01,,,,,,,,,,3.8,,-1.103350483527611
1966-07-01,,,,,,,,,,3.8,,-1.103350483527611
1966-08-01,,,,,,,,,,3.8,,-1.103350483527611
1966-09-01,,,,,,,,,,3.7,,-1.1618422697403785
1966-10-01,,,,,,,,,,3.7,,-1.1618422697403785
1966-11-01,,,,,,,,,,3.6,,-1.2203340559531464
1966-12-01,,,,,,,,,,3.8,,-1.103350483527611
1967-01-01,,,,,,,,,,3.9,,-1.0448586973148433
1967-02-01,,,,,,,,,,3.8,,-1.103350483527611
1967-03-01,,,,,,,,,,3.8,,-1.103350483527611
1967-04-01,,,,,,,,,,3.8,,-1.103350483527611
1967-05-01,,,,,,,,,,3.8,,-1.103350483527611
1967-06-01,,,,,,,,,,3.9,,-1.0448586973148433
1967-07-01,,,,,,,,,,3.8,,-1.103350483527611
1967-08-01,,,,,,,,,,3.8,,-1.103350483527611
1967-09-01,,,,,,,,,,3.8,,-1.103350483527611
1967-10-01,,,,,,,,,,4.0,,-0.9863669111020753
1967-11-01,,,,,,,,,,3.9,,-1.0448586973148433
1967-12-01,,,,,,,,,,3.8,,-1.103350483527611
1968-01-01,,,,,,,,,3.65186106,3.7,-0.25287148920526714,-1.1618422697403785
1968-02-01,,,,,,,,,3.673819411,3.8,-0.24467878134459975,-1.103350483527611
1968-03-01,,,,,,,,,4.142163975,3.7,-0.06993841987649159,-1.1618422697403785
1968-04-01,,,,,,,,,4.155828095,3.5,-0.06484030739376893,-1.2788258421659142
1968-05-01,,,,,,,,,4.088245437,3.5,-0.09005554206423168,-1.2788258421659142
1968-06-01,,,,,,,,,4.545569347,3.7,0.0805729897562178,-1.1618422697403785
1968-07-01,,,,,,,,,4.753076334,3.7,0.15799429172640167,-1.1618422697403785
1968-08-01,,,,,,,,,4.9466066,3.5,0.2302008491102066,-1.2788258421659142
1968-09-01,,,,,,,,,4.948246979,3.4,0.23081287803386197,-1.337317628378682
1968-10-01,,,,,,,,,5.182592347,3.4,0.31824763752580043,-1.337317628378682
1968-11-01,,,,,,,,,5.399387944,3.4,0.3991345398118582,-1.337317628378682
1968-12-01,,,,,,,,,5.706347843,3.4,0.5136619365843634,-1.337317628378682
1969-01-01,,,,,,,,,5.746196961,3.4,0.5285297279899777,-1.337317628378682
1969-02-01,,,,,,,,,5.749956071,3.4,0.5299322599945946,-1.337317628378682
1969-03-01,,,,,,,,,6.125157849,3.4,0.6699208482067488,-1.337317628378682
1969-04-01,,,,,,,,,6.505620421,3.4,0.8118722499451624,-1.337317628378682
1969-05-01,,,,,,,,,6.780633974,3.4,0.9144803964973849,-1.337317628378682
1969-06-01,,,,,,,,,6.375966005,3.5,0.7634979092155957,-1.2788258421659142
1969-07-01,,,,,,,,,6.389268621,3.5,0.7684611437804607,-1.2788258421659142
1969-08-01,,,,,,,,,6.414746498,3.5,0.7779669943414166,-1.2788258421659142
1969-09-01,,,,,,,,,6.834758299,3.7,0.9346742982562561,-1.1618422697403785
1969-10-01,,,,,,,,,6.560106336,3.7,0.8322010617086755,-1.1618422697403785
1969-11-01,,,,,,,,,6.437390535,3.5,0.7864155331195395,-1.2788258421659142
1969-12-01,,,,,,,,,6.402163808,3.5,0.7732723657114551,-1.2788258421659142
1970-01-01,,,,,,,,,6.592370014,3.9,0.8442387091788631,-1.0448586973148433
1970-02-01,,,,,,,,,7.053805927,4.2,1.0164014381392157,-0.8693833386765397
1970-03-01,,,,,,,,,6.993096123,4.4,0.993750480039021,-0.7523997662510041
1970-04-01,,,,,,,,,6.817838113,4.6,0.9283613405643897,-0.635416193825469
1970-05-01,,,,,,,,,6.947734731,4.8,0.9768260473797009,-0.5184326213999334
1970-06-01,,,,,,,,,7.151974844,4.9,1.0530284716527567,-0.4599408351871653
1970-07-01,,,,,,,,,7.00787567,5.0,0.999264760728131,-0.40144904897439776
1970-08-01,,,,,,,,,7.114872285,5.1,1.0391854273016496,-0.3429572627616302
1970-09-01,,,,,,,,,7.081263039,5.4,1.0266457455243025,-0.16748190412332647
1970-10-01,,,,,,,,,7.057638255,5.5,1.0178312879366915,-0.10899011791055893
1970-11-01,,,,,,,,,7.327620064,5.9,1.118562080008987,0.12497702694051231
1970-12-01,,,,,,,,,7.342681298,6.1,1.12418145872204,0.2419605993660474
1971-01-01,,,,,,,,,7.014858012,5.9,1.0018698875060603,0.12497702694051231
1971-02-01,,,,,,,,,6.329604979,5.9,0.746200510966574,0.12497702694051231
1971-03-01,,,,,,,,,5.50160847,6.0,0.4372732373343518,0.18346881315327987
